class,Top10perc,Top25perc,PhD,Terminal,perc.alumni,Grad.Rate
1,18,52,52,60,9,69
1,39,74,90,90,7,57
0,42,89,81,96,20,66
1,20,44,65,74,10,68
0,50,90,80,89,15,58
1,16,49,45,55,24,62
1,30,55,86,97,14,80
0,16,35,89,97,6,46
0,13,38,76,76,8,43
1,22,49,57,69,8,83
1,29,72,54,78,37,60
1,3,14,50,56,16,51
1,20,54,68,76,13,62
1,51,87,59,59,14,54
1,56,82,92,95,28,82
1,24,57,47,51,18,65
1,18,36,65,58,12,29
1,19,39,67,67,26,74
1,27,52,53,53,22,52
0,17,29,93,96,7,46
1,38,71,92,93,15,72
1,30,55,73,76,28,55
1,71,93,91,92,27,95
0,89,99,92,92,33,70
0,9,24,87,89,10,34
1,12,52,56,59,27,76
1,42,78,94,95,32,83
1,10,27,25,25,4,36
1,31,67,78,90,32,69
1,25,54,73,82,32,66
1,26,51,51,56,46,72
1,40,64,78,90,34,77
1,18,46,53,59,26,64
1,14,41,51,61,24,47
0,20,60,64,66,9,57
1,7,20,77,83,24,76
1,10,31,64,80,31,39
1,20,46,57,61,16,60
1,56,91,88,92,54,83
1,57,88,65,65,18,100
1,18,44,78,86,30,65
1,36,72,79,89,58,80
1,30,56,36,41,22,96
1,40,82,91,96,60,91
1,34,73,89,93,33,65
1,20,40,95,97,53,69
1,25,63,60,64,9,70
1,33,65,84,84,26,64
1,16,40,75,79,10,38
1,35,75,71,77,37,73
1,22,49,75,87,32,73
1,90,100,97,97,52,100
1,95,100,100,100,46,100
1,22,52,57,63,17,52
1,52,87,82,99,26,63
1,35,66,80,80,31,79
1,37,66,75,95,34,79
1,25,53,99,99,37,79
1,25,63,81,90,10,60
1,26,58,78,91,48,72
1,36,64,82,88,34,72
1,37,69,72,81,40,72
1,30,70,85,90,24,67
1,26,47,63,72,9,44
1,20,46,76,76,25,47
1,3,9,31,35,4,21
1,10,30,36,44,4,84
1,22,47,81,91,29,75
1,28,63,75,75,30,52
1,42,77,80,88,26,56
0,10,35,77,84,16,54
1,55,86,77,92,34,83
1,16,44,56,64,33,69
1,16,49,67,69,21,95
0,10,31,72,76,8,40
0,25,72,77,88,24,68
1,20,48,49,51,15,34
1,13,33,66,83,14,66
0,26,59,81,88,22,65
1,23,52,58,79,25,75
0,32,72,77,81,29,98
1,14,41,51,53,21,54
0,10,30,63,67,10,26
1,24,53,68,68,19,75
1,27,57,89,90,28,89
1,75,94,96,97,38,90
0,3,13,80,91,15,36
1,10,30,34,55,30,56
1,36,55,97,97,37,80
0,25,55,76,86,22,54
1,16,40,63,55,14,68
0,5,19,73,73,13,61
1,20,49,57,65,32,62
1,44,75,95,95,46,88
1,10,43,55,94,43,51
1,20,45,66,72,37,87
1,34,65,65,68,25,65
1,48,77,88,95,33,79
1,10,41,57,73,14,52
1,20,56,90,90,9,84
1,36,59,93,96,38,92
1,15,35,77,83,12,75
1,31,70,91,94,19,77
1,24,47,49,65,25,57
0,10,27,48,82,12,26
1,15,35,61,61,10,60
0,9,33,67,77,11,51
1,50,77,76,92,57,77
1,21,76,89,92,28,94
1,28,56,84,84,30,85
1,40,84,96,99,43,91
1,25,46,88,92,20,66
1,12,33,71,88,18,58
1,29,54,58,70,23,56
1,35,64,97,98,21,69
1,12,31,36,48,10,61
1,21,55,67,72,35,53
0,15,41,71,72,8,45
1,6,33,65,85,9,100
1,48,72,89,91,34,81
1,22,47,53,93,16,92
0,17,41,47,55,14,63
0,12,47,74,80,23,62
1,20,39,61,62,24,70
1,33,61,64,74,11,59
0,29,57,83,87,11,37
0,22,45,66,77,13,45
1,25,54,86,88,27,80
1,42,64,84,88,10,84
1,24,80,77,88,14,53
1,25,55,94,95,15,65
1,38,72,73,85,38,77
1,16,37,75,81,32,72
1,3,21,62,66,24,70
0,6,20,48,65,15,51
1,56,86,85,91,37,77
1,12,29,49,55,33,59
1,21,46,42,45,16,55
1,23,63,63,72,20,64
1,20,63,92,92,25,79
1,21,54,97,97,24,70
0,9,29,57,68,11,68
1,15,41,37,37,21,59
1,27,60,80,97,30,96
1,12,31,74,81,34,69
1,36,71,86,94,25,77
1,14,60,77,86,10,50
1,26,52,66,79,50,90
0,39,78,75,80,30,84
1,9,34,71,93,30,77
1,21,30,63,76,20,68
1,10,30,77,82,17,55
1,26,52,80,90,43,51
1,26,51,52,58,13,61
1,13,51,65,76,30,66
1,96,99,99,99,35,94
0,5,12,68,68,11,51
1,16,43,70,74,21,52
1,25,50,57,64,11,32
1,11,32,54,54,45,48
1,37,70,93,95,15,91
1,15,40,45,63,29,78
1,25,58,77,82,33,82
1,18,36,73,75,22,80
0,6,18,48,48,12,59
1,30,64,68,75,30,89
0,35,39,81,89,20,85
0,23,57,93,95,9,71
0,42,77,82,82,25,65
1,15,36,33,33,20,49
0,22,60,72,74,20,71
1,26,52,63,69,16,64
1,29,62,60,77,25,75
1,32,61,82,89,38,58
1,36,69,35,46,23,67
1,36,57,77,79,18,61
0,18,57,77,77,20,53
0,19,46,49,54,8,63
0,13,50,52,54,9,100
1,5,35,35,67,16,27
1,28,57,91,91,43,56
1,14,34,70,85,15,54
0,45,72,71,71,31,74
0,15,42,75,83,8,37
0,19,53,82,87,9,58
1,10,24,42,50,4,15
0,12,37,76,81,19,60
1,23,58,86,92,28,74
1,41,66,71,74,10,83
1,16,36,48,68,32,56
1,2,13,53,60,34,60
1,47,79,79,91,51,84
1,17,37,45,55,38,44
1,12,32,51,51,26,78
1,20,49,44,50,30,64
1,16,33,32,37,43,21
1,15,36,77,82,36,80
1,14,48,74,75,23,88
1,37,90,53,71,19,72
1,26,61,85,87,35,81
1,18,36,57,57,7,58
