Miles Per Gallon,Engine Size (cube in),Weight in pounds,Acceleration (0 to 60),Model Year,class
18,258,3193,18,76,1
30,97,1825,12,76,2
32,85,1990,17,76,3
28,97,2155,16,76,3
27,140,2565,14,76,1
20,130,3150,16,76,2
13,318,3940,13,76,1
19,120,3270,22,76,2
19,156,2930,16,76,3
17,168,3820,17,76,2
17,350,4380,12,76,1
13,350,4055,12,76,1
13,302,3870,15,76,1
13,318,3755,14,76,1
32,98,2045,19,77,3
30,111,2155,15,77,1
36,79,1825,19,77,2
26,122,2300,16,77,1
34,85,1945,17,77,3
18,305,3880,13,77,1
17,260,4060,19,77,1
16,318,4140,14,77,1
15,302,4295,15,77,1
18,250,3520,16,77,1
21,231,3425,17,77,1
19,225,3630,18,77,1
19,250,3525,19,77,1
16,400,4220,11,77,1
16,350,4165,11,77,1
16,400,4325,12,77,1
16,351,4335,15,77,1
29,97,1940,15,77,2
25,151,2740,16,77,1
26,97,2265,18,77,3
26,140,2755,16,77,1
31,98,2051,17,77,1
34,98,2075,16,77,1
30,97,1985,16,77,3
31,97,2190,14,77,2
22,146,2815,15,77,3
22,121,2600,13,77,2
22,80,2720,14,77,3
43,90,1985,22,78,2
36,98,1800,14,78,1
33,78,1985,19,78,3
39,85,2070,19,78,3
36,91,1800,16,78,3
